ZIP,USPS Default State for ZIP,County,County State,State Abbreviation
35004,AL,St. Clair County,Alabama,AL
35005,AL,Jefferson County,Alabama,AL
35006,AL,Jefferson County,Alabama,AL
35006,AL,Walker County,Alabama,AL
35006,AL,Tuscaloosa County,Alabama,AL
35007,AL,Shelby County,Alabama,AL
35010,AL,Tallapoosa County,Alabama,AL
35010,AL,Coosa County,Alabama,AL
35010,AL,Elmore County,Alabama,AL
35011,AL,Tallapoosa County,Alabama,AL
35013,AL,Blount County,Alabama,AL
35014,AL,Talladega County,Alabama,AL
35015,AL,Jefferson County,Alabama,AL
35016,AL,Marshall County,Alabama,AL
35016,AL,Cullman County,Alabama,AL
35016,AL,Blount County,Alabama,AL
35016,AL,Morgan County,Alabama,AL
35019,AL,Cullman County,Alabama,AL
35019,AL,Morgan County,Alabama,AL
35020,AL,Jefferson County,Alabama,AL
35021,AL,Jefferson County,Alabama,AL
35022,AL,Jefferson County,Alabama,AL
35022,AL,Shelby County,Alabama,AL
35023,AL,Jefferson County,Alabama,AL
35031,AL,Blount County,Alabama,AL
35031,AL,Marshall County,Alabama,AL
35032,AL,Talladega County,Alabama,AL
35033,AL,Cullman County,Alabama,AL
35033,AL,Walker County,Alabama,AL
35034,AL,Bibb County,Alabama,AL
35034,AL,Perry County,Alabama,AL
35035,AL,Bibb County,Alabama,AL
35035,AL,Shelby County,Alabama,AL
35035,AL,Chilton County,Alabama,AL
35036,AL,Jefferson County,Alabama,AL
35038,AL,Walker County,Alabama,AL
35040,AL,Shelby County,Alabama,AL
35040,AL,Chilton County,Alabama,AL
35042,AL,Bibb County,Alabama,AL
35042,AL,Perry County,Alabama,AL
35043,AL,Shelby County,Alabama,AL
35044,AL,Talladega County,Alabama,AL
35045,AL,Chilton County,Alabama,AL
35046,AL,Chilton County,Alabama,AL
35046,AL,Coosa County,Alabama,AL
35048,AL,Jefferson County,Alabama,AL
35049,AL,Blount County,Alabama,AL
35051,AL,Shelby County,Alabama,AL
35052,AL,St. Clair County,Alabama,AL
35053,AL,Cullman County,Alabama,AL
35053,AL,Winston County,Alabama,AL
35054,AL,St. Clair County,Alabama,AL
35055,AL,Cullman County,Alabama,AL
35056,AL,Cullman County,Alabama,AL
35057,AL,Cullman County,Alabama,AL
35057,AL,Winston County,Alabama,AL
35058,AL,Cullman County,Alabama,AL
35058,AL,Morgan County,Alabama,AL
35060,AL,Jefferson County,Alabama,AL
35061,AL,Jefferson County,Alabama,AL
35062,AL,Jefferson County,Alabama,AL
35062,AL,Walker County,Alabama,AL
35063,AL,Walker County,Alabama,AL
35063,AL,Blount County,Alabama,AL
35063,AL,Jefferson County,Alabama,AL
35064,AL,Jefferson County,Alabama,AL
35068,AL,Jefferson County,Alabama,AL
35070,AL,Cullman County,Alabama,AL
35071,AL,Jefferson County,Alabama,AL
35072,AL,Coosa County,Alabama,AL
35072,AL,Clay County,Alabama,AL
35072,AL,Tallapoosa County,Alabama,AL
35072,AL,Talladega County,Alabama,AL
35073,AL,Jefferson County,Alabama,AL
35074,AL,Bibb County,Alabama,AL
35077,AL,Cullman County,Alabama,AL
35077,AL,Blount County,Alabama,AL
35078,AL,Shelby County,Alabama,AL
35079,AL,Blount County,Alabama,AL
35079,AL,Jefferson County,Alabama,AL
35079,AL,Cullman County,Alabama,AL
35080,AL,Shelby County,Alabama,AL
35080,AL,Jefferson County,Alabama,AL
35080,AL,Bibb County,Alabama,AL
35082,AL,Talladega County,Alabama,AL
35082,AL,Clay County,Alabama,AL
35083,AL,Cullman County,Alabama,AL
35085,AL,Chilton County,Alabama,AL
35087,AL,Cullman County,Alabama,AL
35087,AL,Morgan County,Alabama,AL
35087,AL,Marshall County,Alabama,AL
35089,AL,Coosa County,Alabama,AL
35089,AL,Tallapoosa County,Alabama,AL
35091,AL,Jefferson County,Alabama,AL
35094,AL,Jefferson County,Alabama,AL
35094,AL,St. Clair County,Alabama,AL
35094,AL,Shelby County,Alabama,AL
35096,AL,Talladega County,Alabama,AL
35096,AL,Calhoun County,Alabama,AL
35097,AL,Blount County,Alabama,AL
35098,AL,Cullman County,Alabama,AL
35098,AL,Winston County,Alabama,AL
35111,AL,Tuscaloosa County,Alabama,AL
35111,AL,Jefferson County,Alabama,AL
35111,AL,Bibb County,Alabama,AL
35112,AL,St. Clair County,Alabama,AL
35114,AL,Shelby County,Alabama,AL
35115,AL,Shelby County,Alabama,AL
35115,AL,Chilton County,Alabama,AL
35115,AL,Bibb County,Alabama,AL
35116,AL,Jefferson County,Alabama,AL
35117,AL,Jefferson County,Alabama,AL
35118,AL,Jefferson County,Alabama,AL
35119,AL,Jefferson County,Alabama,AL
